4.042069435834889646e+00,2.172640158178506908e+01,2.249246516583411903e+01
2.666359478786546333e+00,2.552087265061885546e+01,2.818413726908414674e+01
3.950425438696129277e+00,2.693902967634500101e+01,2.564454622301457221e+01
3.427357455027106425e+00,2.504254164194165355e+01,2.717471325077264055e+01
3.446131454440944708e+00,2.391726662152856875e+01,2.806111026685232446e+01
3.771085444295408706e+00,2.469114763556717662e+01,2.916998628696796914e+01
2.604745480710278116e+00,2.175910758237839104e+01,3.182282933509202394e+01
3.796621443498111148e+00,2.161068857968598422e+01,3.238310934525577522e+01
4.075249434798934089e+00,1.807867051561325411e+01,3.255678234840632967e+01
4.005991436961267027e+00,1.939118853942304099e+01,3.281281835305088634e+01
4.163029432058351631e+00,2.219990259037464853e+01,3.334503836270567945e+01
2.337961489039685148e+00,2.628582966449559422e+01,3.155264833019077741e+01
2.949607469943202886e+00,2.674831367288530259e+01,3.047539731064881607e+01
3.513751452329756830e+00,2.370927761775553222e+01,3.137554832697804841e+01
3.939757439029222041e+00,2.286170460238008673e+01,3.212909734064788836e+01
2.549977482420217711e+00,2.318703960828185018e+01,3.500835239287908962e+01
5.003995405802129426e+00,3.310401878818126420e+01,2.711981224977665761e+01
3.532315451750150714e+00,2.713871567996741874e+01,2.719907025121449351e+01
3.556633450990943857e+00,3.098397074972243104e+01,2.814082826829849182e+01
4.139509432792692678e+00,3.532772782852052273e+01,2.746113225596837992e+01
4.666315416345014455e+00,3.352804679587333681e+01,2.859618227655886358e+01
3.318661458420763211e+00,2.755595868753641753e+01,3.079693731648171706e+01
3.816487442877928515e+00,2.910818271569462468e+01,3.085370131751147937e+01
4.800589412152760360e+00,3.294651478532404099e+01,3.147539132878927148e+01
3.588133450007433112e+00,2.978224372792246299e+01,3.234817234462195756e+01
4.709617414993033435e+00,2.848442270437925572e+01,3.258042634883520350e+01
3.645547448214870201e+00,3.046419374029338201e+01,3.351733136583112582e+01
1.582735306788089247e+01,8.861742348413173431e+00,6.536812876389888061e+00
1.702334503054021297e+01,9.250971355473978974e+00,7.431604892621919589e+00
